Name,Line 1,Line 2,Town,County,Postcode,lat,lng
Beefeater Spruce Goose,Basingstoke Leisure Park,Worting Road,Basingstoke,Hampshire,RG22 6PG,51.2647748,-1.1170167
Beefeater Stag and Rainbow,10 Queens Drive West Derby,,Liverpool,Merseyside,L13 0DL,53.42668339999999,-2.9178857
Beefeater Starting Gate,Holmer Road,Holmer,Hereford,Herefordshire,HR4 9RS,52.0749329,-2.7225133
Beefeater Stirling City Centre,Forthside Way,,Stirling,,FK8 1QZ,56.1182955,-3.9296553
Beefeater Strawberry Field,Off Thanet Grange,Prince Avenue,Southend-on-Sea,,SS2 6GB,51.5622373,0.6814541
Beefeater Tattenham Corner,Epsom Downs,Tattenham Crescent,Epsom,Surrey,KT18 5NY,51.3116435,-0.2435668
Beefeater The Acorn,Charles Avenue,,Burgess Hill,West Sussex,RH15 9TQ,50.9511269,-0.150694
Beefeater The Barn (Hockley Heath),Stratford Road,Hockley Heath,Solihull,West Midlands,B94 6NX,52.3581481,-1.780327
Beefeater The Barn (Milton Keynes),Secklow Gate West,,Milton Keynes,,MK9 3BZ,52.03976,-0.7520125999999999
Beefeater The Boathouse,Castle Marina Road,Castle Bridge Road,Park,Nottingham,NG7 1GX,52.945045,-1.1660703
Beefeater The Brache,Osborne Road,,Luton,,LU1 3HJ,51.873503,-0.402096
Beefeater The Brecks,Wickersley Road,,Rotherham,South Yorkshire,S65 3JB,53.4199318,-1.3080506
Beefeater The Bull,London Road,,Swanley,Kent,BR8 7QD,51.405729,0.1586222
Beefeater The Castle,Greenlaw Road,Crookfur Road,Newton Mearns,Glasgow,G77 6NP,55.784467,-4.348343
Beefeater The Coldra,Junction,Chepstow Road,Newport,,NP18 2NX,51.6023963,-2.922378
Beefeater The Cricketers,1 London Road,,Bagshot,Surrey,GU19 5HR,51.36923119999999,-0.6885667999999999
Beefeater The Duck,176 Hagley Road,,Birmingham,West Midlands,B16 9NY,52.4715381,-1.9401228
Beefeater The Farmhouse,Coppenhall Lane,,Crewe,Cheshire East,CW2 8SD,53.0953838,-2.4848883
Beefeater The Fountain,Staines Road,,Twickenham,Greater London,TW2 5PE,51.43913999999999,-0.3603290000000001
Beefeater The Foxburrow,249 Yarmouth Road,,Lowestoft,Suffolk,NR32 4AA,52.498635,1.7335063
Beefeater The Granary,Ham Lane,,Peterborough,,PE2 5UU,52.5568857,-0.298552
Beefeater The Grandstand,Racecourse,Newton Road,Kingsteignton,Newton Abbot,TQ12 3AF,50.5405703,-3.6001243
Beefeater The Grapes,362 Uxbridge Road,,Hayes,Greater London,UB4 0HF,51.5181018,-0.4059952
Beefeater The Haywain (Basildon),High Road,Fobbing,Stanford-le-Hope,Essex,SS17 9NR,51.550584,0.466687
Beefeater The Hut,Bournemouth Road,Chandler's Ford,Eastleigh,Hampshire,SO53 3DJ,50.9789399,-1.3852788
Beefeater The Kingswinford,Dudley Road,,Kingswinford,West Midlands,DY6 8WT,52.5002493,-2.1519709
Beefeater The Kingswood,Kingswood Parks,Ennerdale,Hull,Kingston upon Hull,HU7 3DD,53.7936188,-0.3508146
Beefeater The Ladybridge,Bonehill Road,,Tamworth,Staffordshire,B78 3HQ,52.62934,-1.7016056
Beefeater The Lakeside,White Rose Way,,Doncaster,South Yorkshire,DN4 5PJ,53.5066049,-1.1121458
Beefeater The Longbow,Magden Park Gwaun Elai,Ynysmaerdy,Pontyclun,Rhondda Cynon Taff,CF72 8XL,51.54358,-3.3883144
Beefeater The Longwall,Oxford Business Park,Garsington Road,Cowley,Oxford,OX4 2JT,51.731051,-1.203144
Beefeater The Lydiard,Lydiard Fields,Great Western Way,Swindon,Wiltshire,SN5 8UB,51.5481165,-1.8523121
Beefeater The Mallard,Southmead Way,,Derby,,DE22 3HN,52.9127887,-1.5137236
Beefeater The Millfield,York Business Park,White Rose Close,Nether Poppleton,York,YO26 6RL,53.9802955,-1.1329477
Beefeater The Newhouse,Edinburgh Road,Newhouse,Motherwell,North Lanarkshire,ML1 5SY,55.8311195,-3.9299672
Beefeater The Observatory,Meridian Business Park,Thorpe Astley,Leicester,Leicestershire,LE19 1LU,52.6129887,-1.1913581
Beefeater The Orchard,Twyford Gardens,,Evesham,Worcestershire,WR11 4TP,52.1128276,-1.938486
Beefeater The Parkway,Parkway,,Guildford,Surrey,GU1 1UP,51.2481833,-0.5694490999999999
Beefeater The Plough (Dover),Folkestone Road,,Dover,Kent,CT15 7AB,51.111043,1.259959
Beefeater The Plough (Solihull),Stratford Road Shirley,,Solihull,West Midlands,B90 4EP,52.386044,-1.7993546
Beefeater The Rosebank,Main Street,Camelon,Falkirk,,FK1 4DS,56.0022191,-3.8052545
Beefeater The Somerford,Somerford Road,,Christchurch,Dorset,BH23 3QG,50.7423064,-1.7428884
Beefeater The Southcote,Southcote Lane,,Reading,,RG30 3AB,51.447627,-0.9959089999999999
Beefeater The Stanborough,Stanborough Road,,Welwyn Garden City,Hertfordshire,AL8 6DQ,51.792692,-0.209901
Beefeater The Station,57 North Street,,Horsham,West Sussex,RH12 1RB,51.06638659999999,-0.3195952
Beefeater The Talpore,White Water Way Thornaby,Stockton-on-Tees,Stockton-on-Tees,,TS17 6QB,54.5670894,-1.2843042
Beefeater The Walston Castle,Port Road,Nantisaf,Cardiff,Vale of Glamorgan,CF5 6DD,51.453162,-3.265522
Beefeater The Warden,129 Barton Road,,Luton,,LU3 2BL,51.9181023,-0.4276514
Beefeater The Waterfront,waterfront development,Langdon Road,Swansea,,SA1 8PL,51.6201052,-3.928601599999999
Beefeater The Watermill (Basildon),Felmores,East Mayne,Basildon,Essex,SS13 1BW,51.5804238,0.4970093
Beefeater The Woodlands,Wrotham Road,,Gravesend,Kent,DA11 7LF,51.4318683,0.363977
Beefeater The Woolpack,Maidstone Road,Hothfield Common,Ram Lane,Ashford,TN26 1AP,51.184797,0.817537
Beefeater Three Fish,Stafford Road,,Newport,Shropshire,TF10 9BY,52.7688047,-2.3606252
Beefeater Three Pears,Wainwright Road,,Worcester,Worcestershire,WR4 9FA,52.212036,-2.16273
Beefeater Travellers Rest (Cambridge),Huntingdon Road,Girton,Cambridge,Cambridgeshire,CB3 0DL,52.2222647,0.0936804
Beefeater Travellers Rest (Kenton),Kenton Road,,Harrow,Greater London,HA3 8AT,51.5825457,-0.3168444
Beefeater Travellers Rest (Ross on Wye),Ledbury Road,,Ross-on-Wye,Herefordshire,HR9 7QJ,51.9308758,-2.5615281
Beefeater Turnpike - Northampton,Weedon Road,Harpole,Northampton,Northamptonshire,NN7 4DD,52.235632,-0.9856419999999999
Beefeater Twelve Bells,Ermin Way,,Gloucester,Gloucestershire,GL3 4SS,51.839484,-2.139569
Beefeater Ware,Marsh Lane,,Ware,Hertfordshire,SG12 9QB,51.806312,-0.0258081
Beefeater Weymouth,gateway business park,Mercery Road,Weymouth,Dorset,DT3 5HJ,50.6344246,-2.460510600000001
Beefeater White Hart - Guestling,Winchelsea Road,,Hastings,East Sussex,TN35 4LW,50.887684,0.6256929999999999
Beefeater White Lodge,81 Bridgwater Road,,Taunton,Somerset,TA1 2DU,51.0228394,-3.0722094
Beefeater White Rock,Long Road,South,Paignton,Torbay,TQ4 7AZ,50.4140552,-3.579712
Beefeater Whitegate Inn,Broadway,Chadderton,Oldham,Greater Manchester,OL9 8DW,53.522487,-2.164274
