Name,Line 1,Line 2,Town,County,Postcode,lat,lng
Pret A Manger,27-29 Eagle Walk Intu Shopping Centre,,Milton Keynes,,MK9 3AJ,52.0442076,-0.7535238
Pret A Manger,27-29 Eagle Walk Intu Shopping Centre,,Milton Keynes,,MK9 3AJ,52.0442076,-0.7535238
Pret A Manger,12,Parkfield Street,London,Greater London,N1 0PS,51.53423129999999,-0.1059611
Pret A Manger,257,Upper Street,London,Greater London,N1 1RU,51.5458607,-0.1033955
Pret A Manger,York Way,,London,Greater London,N1 9AB,51.5334541,-0.122165
Pret A Manger,27 Islington High Street,,London,Greater London,N1 9LH,51.5328422,-0.1063615
Pret A Manger,296 Pentonville Road,,London,Greater London,N1 9NR,51.5308933,-0.1221119
Pret A Manger,Unit 61 St Pancras International Station,,London,Greater London,N1C 4QL,51.5315336,-0.1270046
Pret A Manger,The Circle,St Pancras International,,,N1C 4QP,,
Pret A Manger,Unit CG08 Euston Road,,London,Greater London,N1C 9AP,51.5315782,-0.1246418
Pret A Manger,271 Holloway Road,,London,Greater London,N7 8FB,51.5519755,-0.1118022
Pret A Manger,142-145 Northumberland Street,,Newcastle upon Tyne,Tyne and Wear,NE1 7AG,54.9771389,-1.6134635
Pret A Manger,10 High Street,,Nottingham,,NG1 2ET,52.9532946,-1.147625
Pret A Manger,11 Haymarket,,Norwich,Norfolk,NR2 1QD,52.6271438,1.2934844
Pret A Manger,Euston Road,,London,Greater London,NW1 2QP,51.5322237,-0.1265721
Pret A Manger,117 Euston Road,,London,Greater London,NW1 2SX,51.5283411,-0.1275964
Pret A Manger,286,Euston Road,London,Greater London,NW1 3DP,51.5251745,-0.139327
Pret A Manger,BAKER STREET TUBE,Marylebone Road,London,Greater London,NW1 5LA,51.5226266,-0.1562959
Pret A Manger,211-213 Baker Street,,London,Greater London,NW1 6UY,51.52294879999999,-0.1581496
Pret A Manger,231 Camden High Street,,London,Greater London,NW1 7BU,51.53994549999999,-0.1437804
Pret A Manger,2-4 Circus Road,,London,Greater London,NW8 6PG,51.5340363,-0.1716915
Pret A Manger,Unit U30,,Oxford,Oxfordshire,OX1 1NZ,51.749692,-1.2615158
Pret A Manger,26-27 Cornmarket Street,,Oxford,Oxfordshire,OX1 3EY,51.7534348,-1.25842
Pret A Manger,450 Pingle Drive,,Bicester,Oxfordshire,OX26 6WD,51.8920571,-1.1564392
Pret A Manger,Units 2 & 3,,Oxford,Headington,OX3 9DU,51.7638247,-1.2198066
Name,Line 1,Line 2,Town,County,Postcode,lat,lng
Pret A Manger,Thames Tower,Station Approach,Reading,,RG1 1LX,51.4583851,-0.9730732999999999
Pret A Manger,39 Holy Brook Walk,,Reading,,RG1 2AQ,51.455077,-0.9704818
